                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.69387,                 1.2383,                0.56789,                 1.0382,                0.81771,                0.76214,                0.86215,                0.65572,                0.79552,                0.68465,                0.77285,                0.58343,                 0.7952,                 1.4577,                0.66993,                 1.1308,             0.00079381,             0.00079381,             0.00079381
                     67,                0.68779,                 1.2421,                0.55137,                  1.033,                0.78301,                0.78491,                0.81895,                0.65837,                0.78573,                0.71246,                 0.7879,                0.59715,                 0.7939,                 1.4497,                0.72825,                 1.1092,             0.00079201,             0.00079201,             0.00079201
                     68,                0.67467,                 1.2229,                0.54888,                 1.0321,                0.80135,                0.76127,                 0.8441,                0.65625,                0.80982,                0.74425,                0.81637,                0.58189,                0.81209,                 1.4163,                0.69434,                 1.1233,             0.00079021,             0.00079021,             0.00079021
                     69,                0.66851,                 1.1993,                0.54414,                 1.0243,                0.80051,                0.74178,                0.84811,                0.67076,                0.70885,                 0.8802,                0.85137,                0.62568,                0.78313,                 1.4532,                0.67947,                  1.122,             0.00078841,             0.00078841,             0.00078841
                     70,                0.68841,                 1.2354,                0.55655,                 1.0337,                0.84189,                0.75157,                0.83595,                0.65889,                0.84672,                0.74504,                0.82158,                0.60273,                0.79632,                 1.4552,                0.68786,                 1.1533,             0.00078661,             0.00078661,             0.00078661
                     71,                0.67964,                 1.2236,                 0.5403,                 1.0341,                0.81257,                0.80596,                0.84219,                 0.6459,                0.83769,                0.74671,                0.81379,                0.60758,                0.80557,                  1.481,                0.74793,                 1.1282,             0.00078481,             0.00078481,             0.00078481
                     72,                 0.6677,                 1.2202,                0.53574,                 1.0213,                0.87709,                0.75934,                0.84001,                0.65831,                0.87539,                0.75371,                0.82715,                0.59939,                 0.7939,                   1.46,                 0.7067,                 1.1122,             0.00078301,             0.00078301,             0.00078301
                     73,                0.65925,                 1.1651,                0.52776,                 1.0163,                0.82151,                 0.8143,                0.86263,                0.66709,                0.78628,                0.78631,                 0.8189,                0.60057,                0.79317,                 1.4125,                0.67998,                 1.1478,             0.00078121,             0.00078121,             0.00078121
                     74,                0.67024,                 1.1853,                0.54472,                 1.0339,                0.80792,                0.75599,                0.83812,                0.65247,                0.66997,                0.83236,                0.78866,                0.58149,                0.79074,                 1.3977,                0.71001,                  1.126,             0.00077941,             0.00077941,             0.00077941
                     75,                0.66128,                 1.1601,                0.53507,                 1.0178,                0.87966,                0.72809,                0.87376,                 0.6765,                0.84534,                0.70447,                0.82448,                0.59781,                0.76917,                 1.4202,                0.70853,                  1.103,             0.00077761,             0.00077761,             0.00077761
                     76,                0.65817,                 1.1749,                0.52771,                 1.0156,                0.82742,                0.82315,                0.88916,                0.69375,                0.76969,                 0.7625,                0.78313,                0.60907,                0.75567,                 1.4048,                0.64792,                 1.0941,             0.00077581,             0.00077581,             0.00077581
                     77,                0.64817,                 1.1478,                0.51322,                 1.0192,                0.83406,                0.79165,                0.86575,                 0.6855,                0.77067,                0.73808,                0.79541,                0.57803,                0.76373,                 1.5189,                0.71142,                 1.0946,             0.00077401,             0.00077401,             0.00077401
                     78,                0.65424,                 1.1779,                0.52682,                 1.0113,                0.81768,                0.81493,                 0.8721,                 0.6569,                0.82375,                0.66868,                 0.7706,                0.57785,                0.79124,                 1.4589,                0.70432,                 1.1343,             0.00077221,             0.00077221,             0.00077221
                     79,                0.66245,                 1.1862,                0.52797,                 1.0183,                0.79301,                0.80459,                0.85969,                0.67556,                0.76798,                0.82042,                 0.8536,                0.63255,                0.75631,                 1.4171,                0.69945,                 1.1006,             0.00077041,             0.00077041,             0.00077041
                     80,                0.63782,                 1.1581,                0.51072,                 1.0016,                0.80105,                0.84271,                 0.8699,                0.68971,                0.70949,                0.77311,                0.75775,                0.57537,                0.76032,                 1.4997,                  0.692,                 1.0996,             0.00076861,             0.00076861,             0.00076861
                     81,                0.65424,                 1.1485,                0.51703,                 1.0163,                0.78467,                0.77103,                0.84181,                0.66952,                0.75117,                0.73215,                0.77875,                0.57729,                 0.7856,                 1.4505,                0.72296,                 1.1184,             0.00076681,             0.00076681,             0.00076681
                     82,                0.65993,                 1.1805,                0.52255,                 1.0178,                0.83826,                0.73074,                0.83059,                0.66146,                0.69783,                0.77374,                0.76649,                0.58146,                0.77092,                 1.4446,                0.67823,                 1.1143,             0.00076501,             0.00076501,             0.00076501
                     83,                0.65512,                  1.147,                0.51011,                  1.017,                0.83299,                 0.8086,                0.84928,                0.68578,                0.77932,                0.72279,                0.77176,                0.61007,                0.77425,                 1.3701,                0.68838,                 1.1299,             0.00076321,             0.00076321,             0.00076321
                     84,                0.64762,                  1.169,                  0.507,                 1.0159,                0.82322,                0.76022,                0.87762,                0.70175,                 0.8648,                0.67983,                0.80617,                0.59231,                0.77742,                 1.4097,                 0.6592,                 1.1183,             0.00076141,             0.00076141,             0.00076141
                     85,                0.63219,                 1.1195,                0.49748,                 1.0028,                0.77929,                0.81408,                0.84742,                0.67316,                0.70384,                0.65263,                0.71858,                0.56681,                0.76283,                 1.4279,                 0.6543,                 1.1052,             0.00075961,             0.00075961,             0.00075961
                     86,                 0.6288,                 1.0998,                0.49879,                0.99648,                 0.7937,                0.81873,                0.87005,                0.68258,                0.81087,                0.72978,                0.77933,                0.57452,                0.76314,                 1.5057,                0.68951,                 1.0875,             0.00075782,             0.00075782,             0.00075782
                     87,                 0.6289,                 1.1418,                0.49761,                0.99686,                0.77873,                0.85612,                0.87218,                0.68177,                0.65804,                0.75504,                0.74225,                0.56478,                0.78182,                 1.4963,                0.68725,                 1.1189,             0.00075602,             0.00075602,             0.00075602
                     88,                 0.6277,                 1.1196,                 0.5025,                0.99893,                0.85291,                0.80958,                0.88026,                0.70133,                0.80296,                0.76655,                0.80503,                0.59453,                0.78384,                 1.4712,                0.68607,                 1.1246,             0.00075422,             0.00075422,             0.00075422
                     89,                0.62958,                 1.1156,                0.49856,                0.99551,                0.80108,                0.79147,                0.84766,                0.67406,                0.87367,                0.71141,                0.83801,                0.61726,                0.78256,                 1.4054,                0.71691,                 1.1263,             0.00075242,             0.00075242,             0.00075242
                     90,                0.63272,                 1.1075,                0.49154,                0.99962,                0.85413,                0.74021,                0.83575,                0.65863,                0.71398,                0.72706,                0.74779,                0.56078,                0.78409,                 1.4766,                0.74825,                 1.1389,             0.00075062,             0.00075062,             0.00075062
                     91,                0.63334,                 1.1169,                0.49533,                 1.0025,                0.78297,                 0.8118,                0.84035,                0.65562,                 0.7309,                0.76992,                0.78855,                0.58557,                0.79057,                 1.4575,                 0.7069,                 1.1286,             0.00074882,             0.00074882,             0.00074882
                     92,                0.64014,                 1.1484,                0.51349,                 1.0122,                0.83212,                0.76221,                0.84456,                0.66263,                0.80358,                 0.6854,                0.76089,                0.56335,                0.77306,                 1.4309,                0.70157,                 1.1131,             0.00074702,             0.00074702,             0.00074702
                     93,                0.64116,                 1.1534,                0.50201,                0.99982,                0.82322,                0.78098,                0.85167,                0.68915,                 0.7323,                0.70324,                0.75081,                0.58945,                0.74551,                 1.4287,                0.64902,                 1.1064,             0.00074522,             0.00074522,             0.00074522
                     94,                0.62935,                 1.1204,                0.49527,                 1.0026,                0.84815,                0.76758,                0.84347,                0.67139,                0.82138,                0.78358,                0.83023,                0.61715,                0.77378,                 1.4106,                0.66423,                 1.1085,             0.00074342,             0.00074342,             0.00074342
                     95,                0.63211,                 1.1325,                0.50028,                 1.0014,                0.81681,                 0.7556,                0.84991,                0.66894,                0.82156,                0.75039,                0.82789,                0.61239,                0.77746,                 1.5737,                0.69451,                 1.1417,             0.00074162,             0.00074162,             0.00074162
                     96,                0.64001,                 1.1334,                0.50667,                 1.0027,                0.67096,                0.84603,                0.82248,                0.65177,                0.81353,                0.66728,                0.80445,                0.59164,                0.78143,                 1.4003,                 0.7056,                 1.1319,             0.00073982,             0.00073982,             0.00073982
                     97,                0.63228,                 1.1371,                0.48374,                0.99658,                 0.7869,                 0.7903,                0.84142,                0.64931,                0.76287,                0.77274,                 0.8169,                0.61313,                0.82286,                 1.3842,                0.71777,                 1.1649,             0.00073802,             0.00073802,             0.00073802
                     98,                0.63485,                 1.1643,                0.51124,                 1.0036,                0.83703,                0.79191,                 0.8534,                0.66637,                0.78454,                0.71362,                0.75146,                0.57825,                0.79124,                 1.4222,                0.69003,                 1.1156,             0.00073622,             0.00073622,             0.00073622
                     99,                0.61858,                 1.0857,                0.49366,                 0.9958,                0.85385,                0.77791,                0.84333,                0.67194,                0.78884,                0.73612,                0.75963,                0.58965,                0.76592,                   1.49,                0.71969,                 1.1136,             0.00073442,             0.00073442,             0.00073442
                    100,                0.62192,                 1.0757,                  0.495,                 1.0016,                0.83919,                0.77809,                0.84566,                0.66175,                 0.8796,                 0.7161,                0.81221,                0.59995,                0.76202,                 1.4803,                0.70568,                 1.1239,             0.00073262,             0.00073262,             0.00073262
